Field1;Field2;Field3;Field4;Text;Text1;Text2
SEKOLAH TINGGI ILMU KESEHATAN BALI;"Jl Tukad Balian No. 180 Renon Denpasar Bali
									Denpasar";27;1:3;B;;4 Jurusan
SEKOLAH TINGGI ILMU KESEHATAN YAPIKA;"Jalan Sultan Alauddin No 98. Makassar
									Makassar";27;1:3;C;;5 Jurusan
AKADEMI KESEHATAN LINGKUNGAN MUHAMMADIYAH MAKASSAR;"Jl. Dr. Ratulangi No.101, Allepolea, Lau
									Makassar";27;1:3;C;;1 Jurusan
STMIK INDONESIA PADANG;"Jln. Khatib Sulaiman Dalam No. 1 Kelurahan Belanti - Kecamatan Padang Utara
									Padang";27;1:3;B;;3 Jurusan
UNIVERSITAS ISLAM BALITAR;"Jl. Majapahit No.4, Sananwetan
									Blitar";26;1:4;C;;17 Jurusan
AKADEMI BAHASA ASING PERSADA BUNDA;"Jl. Diponegoro No.42
									Pekanbaru";26;1:4;C;;1 Jurusan
SEKOLAH TINGGI ILMU KESEHATAN DELI HUSADA;"Jl. Besar Deli Tua No.77, Deli Tua Tim., Deli Tua
									Deli Serdang";26;1:4;B;;6 Jurusan
STAI JAM`IYAH MAHMUDIYAH TANJUNGPURA LANGKAT, SUMATERA UTARA;"Jl. Syekh M. Yusuf No. 24 Tanjung Pura - Langkat
									Langkat";26;1:4;C;;3 Jurusan
SEKOLAH TINGGI ILMU EKONOMI PERSADA BUNDA;"Jalan Diponegoro No 42
									Pekanbaru";26;1:4;C;;2 Jurusan
INSTITUT STUDI ISLAM FAHMINA (ISIF);"Jl. Swasembada No.15 Majasem-Karyamulya
									Cirebon";26;1:4;C;;6 Jurusan
SEKOLAH TINGGI ILMU EKONOMI YAPAN;"Jln. IKIP Gunung Anyar E / 152 – 154 dan 197 – 198.
									Surabaya";26;1:4;B;;3 Jurusan
SEKOLAH TINGGI AGAMA BUDDHA NALANDA;"Jln. Pulo Gebang Permai RT13/RW04,  Kec Cakung Jakarta Timur
									Jakarta Timur";26;1:4;C;;3 Jurusan
UNIVERSITAS OTTOW GEISSLER JAYAPURA;"Jl. T. Nyak Adam Kamil No. 116/121
									Indonesia";26;1:4;C;;1 Jurusan
SEKOLAH TINGGI TEOLOGI ALETHEIA;"Jalan. Argopuro 28-34, PO BOX 100
									Malang";26;1:4;C;;3 Jurusan
SEKOLAH TINGGI ILMU PARIWISATA MANADO;"Jl Kampus STP Pinalelepo Sosonopan Paniki bawah Kecamatan Mapanget Manado
									Manado";26;1:4;C;;2 Jurusan
AKADEMI KEBIDANAN PRESTASI AGUNG;"Jalan Sunan Giri No 5-A
									Jakarta Timur";26;1:4;B;;1 Jurusan
SEKOLAH TINGGI ISLAM BLAMBANGAN BANYUWANGI;"Bumi Cempoko Sari No. 40 Cluring
									Banyuwangi";26;1:4;C;;4 Jurusan
INSTITUT INFORMATIKA INDONESIA SURABAYA;"Pattimura No. 3 d/h Raya Sukomanunggal Jaya No.3
									Surabaya";26;1:4;C;;6 Jurusan
STAI BUSTANUL ULUM KRAI, LUMAJANG;"Jl. Doktren, No. 26, Krai Yosowilangun, Krai
									Lumajang";26;1:5;C;;2 Jurusan
STIE NOBEL INDONESIA MAKASSAR;"Gedung Perkuliahan Jl. Sultan Alauddin No. 212
									Makassar";26;1:5;C;;3 Jurusan
SEKOLAH TINGGI PERTANIAN HAJI AGUS SALIM;"Jalan Prof. Dr. Bachder Djohan, Mandiangin, Campago Ipuh, Mandiangin Koto Selayan
									Agam";26;1:5;C;;1 Jurusan
STIT MASKUMAMBANG GRESIK;"Jl. Raya Sembungankidul No. 11-15 Dukun
									Gresik";26;1:5;C;;2 Jurusan
STIKES KURNIA JAYA PERSADA;"Jalan Dr Ratulangi No 172
									Palopo";26;1:5;B;;3 Jurusan
UNIVERSITAS TEKNOLOGI SULAWESI UTARA;"Jalan Piere Tendean Komplek Megamas Smart 6 No 12
									Manado";26;1:28;C;;10 Jurusan
SEKOLAH TINGGI ILMU TARBIYAH (STIT) AL-KARIMIYYAH BERJIGAPURA SUMENEP;"Jl. Raya Gapura km 5 Beraji Gapura Sumenep Madura
									Sumenep";26;1:5;C;;4 Jurusan
STIKES FAATHIR HUSADA;"Jl.Raya Kresek KM 3 Desa Merak Balaraja Kabupaten Tangerang - Banten
									Tangerang";26;1:5;C;;2 Jurusan
SEKOLAH TINGGI AGAMA HINDU NEGERI GDE PUDJA MATARAM;"Jln.Pancaka No. 7B Mataram, Nusa Tenggara Barat
									Mataram";26;1:5;C;;6 Jurusan
STIKES WIRA MEDIKA BALI;"Jl Kecak No. 9A Gatot Subroto Timur
									Denpasar";26;1:5;C;;3 Jurusan
STMIK PRIMAKARA;"Jalan Tukad Badung No. 135, Renon
									Denpasar";26;1:6;B;;4 Jurusan
STAI TEBING TINGGI DELI, SUMATERA UTARA;"Jln. T. Imam Bonjol No. 16-A Kota Tebing Tinggi Sumatera Utara
									Tebing Tinggi";26;1:6;C;;2 Jurusan
SEKOLAH TINGGI ILMU KESEHATAN MUHAMADIYAH MANADO;"Jl. Sasuit Tubun No. 9 Kel. Istiqlal Lingk. 1 Kec. Wenang
									Manado";26;1:6;C;;3 Jurusan
POLITEKNIK PERTANIAN NEGERI SAMARINDA;"Jl. Samratulangi Samarinda 75131
									Samarinda";26;1:6;C;;8 Jurusan
POLITEKNIK PERTANIAN NEGERI PANGKAJENE KEPULAUAN;"Poros Makassar-parepare Km 83 , Desa Manadlle, Kec. Mandalle, Kabupaten Pangkaje
									Pangkajene Kepulauan";26;1:7;B;;12 Jurusan
AKADEMI KEBIDANAN HAJI AMIRULLAH;"Jl. Abd. Kadir, Balang Baru, Tamalate
									Makassar";26;1:7;C;;1 Jurusan
SEKOLAH TINGGI AGAMA BUDDHA NEGERI RADEN WIJAYA;"Jl. Kantil Bulusulur, Wonogiri Jawa Tengah
									Wonogiri";26;1:7;C;;3 Jurusan
AKADEMI KEBIDANAN BUNGA BANGSAKU BANGKA;"JL. Depati Hamzah, Semabung Lama, Bukit Intan
									Pangkalpinang";26;1:7;C;;1 Jurusan
STIKES WIDYA CIPTA HUSADA;"Jl. Sidotopo No.11, Dilem, Kepanjen
									Malang";26;1:7;C;;6 Jurusan
POLITEKNIK MANUFAKTUR NEGERI BANGKA BELITUNG;"Kawasan Industri Airkantung, Sungailiat
									Bangka";26;1:7;C;;5 Jurusan
STIKES IST BUTON;"Jalan Wa Ode Wau No. 51 Kota Baubau
									Baubau";26;1:7;C;;4 Jurusan
AKADEMI AKUPUNKTUR SURABAYA;"Jl. Parang Kusumo no.14
									Surabaya";26;1:8;C;;1 Jurusan
SEKOLAH TINGGI AGAMA BUDDHA NEGERI SRIWIJAYA TANGERANG;"Kompleks Edu Town BSD City, Kel. Pagedangan, Kec. Pagedangan
									Tangerang";26;1:8;B;;7 Jurusan
POLITEKNIK KELAUTAN DAN PERIKANAN SORONG;"Jl. Kapitan Pattimura Tanjung Kasuari Suprau Kotak Pos 118 Kota Sorong
									Sorong";26;1:8;C;;3 Jurusan
AKADEMI KEPERAWATAN KESDAM IX/UDAYANA;"Jalan Taman Kanak-Kanak Kartika, Dauh Puri
									Denpasar";26;1:8;C;;1 Jurusan
SEKOLAH TINGGI ILMU EKONOMI MAHARDHIKA;"Graha Mahardhika, Jl. Raya Wisata Menanggal No. 42A, Dukuh Menanggal, Gayungan
									Surabaya";26;1:8;B;;3 Jurusan
UNIVERSITAS MAARIF HASYIM LATIF;"Jl. Ngelom Megare 30, Sepanjang Taman 
									Sidoarjo";26;1:8;C;;11 Jurusan
SEKOLAH TINGGI ILMU EKONOMI SATYA DHARMA;"Jl. Yudisthira No.11, Astina, Kec. Buleleng
									Buleleng";26;1:8;C;;2 Jurusan
STMIK BINA BANGSA;"Jalan Merdeka Timur No 92
									Lhokseumawe";26;1:8;C;;3 Jurusan
SEKOLAH TINGGI ILMU KOMPUTER BINANIAGA;"Jl. Mayor Oking Jayaatmaja No.27
									Bogor Tengah";26;1:8;C;;5 Jurusan
UNIVERSITAS SOERJO;"Jl. Cepu, Ngawi, Kec. Ngawi
									Ngawi";26;1:12;C;;6 Jurusan
SEKOLAH TINGGI ILMU HUKUM PERSADA BUNDA;"Jalan Diponegoro No 42
									Pekanbaru";26;1:8;C;;2 Jurusan
AKADEMI KEPERAWATAN PEMKAB PONOROGO;"Jl. Dr. Ciptomangunkusumo No. 82 A
									Ponorogo";26;1:8;B;;1 Jurusan
POLITEKNIK BINA BUDAYA CIPTA;"Jl. Laksamana Martadinata No.35, Gunungparang
									Jampang Kulon";26;1:8;C;;3 Jurusan
IAIN SULTAN AMAI;"Jl. Gelatik No. 1
									Gorontalo";26;1:8;B;;18 Jurusan
AKADEMI PARIWISATA NASIONAL BANJARMASIN;"Jl. Soetoyo S. No.126 Banjarmasin 
									Banjar";26;1:8;C;;1 Jurusan
SEKOLAH TINGGI KESEHATAN BINA CIPTA HUSADA;"Jl. Pahlawan V/6 Tanjung Purwokerto
									Banyumas";26;1:9;C;;2 Jurusan
AKADEMI KEPERAWATAN BETHESDA TOMOHON;"Depan RSU Bethesda Tomohon, Kelurahan Kamasi Kecamatan Tomohon Tengah
									Tomohon";26;1:9;B;;1 Jurusan
AKADEMI KEBIDANAN BALI WISNU DHARMA;"Jl. Kebo Iwa 1/2 Mengwi Mangupura 80351 (Timur Polres Badung)
									Badung";26;1:9;C;;1 Jurusan
SEKOLAH TINGGI ILMU EKONOMI ATMA BHAKTI;"Jalan Letnan Jenderal Sutoyo No. 43 Cengklik Nusukan Banjarsari Surakarta
									Surakarta";26;1:9;C;;2 Jurusan
POLITEKNIK KOTA MALANG;"Jl. Tlogowaru No. 03 Kelurahan Tlogowaru Kec. Kedungkandang
									Malang";26;1:9;C;;4 Jurusan
STAI SANGATTA;"Jln. APT. Pranoto No. 01 RT. 13 Dusun Singa Karta Sangatta Utara
									Kutai Timur";26;1:9;B;;2 Jurusan
SEKOLAH TINGGI TEKNIK MULTIMEDIA CENDIKIA ABDITAMA;"Kompleks Pendidikan Islamic Village, Jln. Islamic Raya, Kelapa Dua
									Tangerang";26;1:9;C;;2 Jurusan
STAI NAZHATUT THULLAB SAMPANG MADURA;"Jl. Diponegoro No 11 Sampang Madura
									Sampang";26;1:9;C;;3 Jurusan
AKADEMI KEPERAWATAN YPPP WONOMULYO;"Jalan Gatot Subroto No 1 Wonomulyo
									Sulawesi Barat";26;1:9;C;;1 Jurusan
STIKES GRAHA MEDIKA;"Jl. Raya AKD, RSI Moonow lantai 2, Kel.Mongkonai Barat
									Kotamobagu Barat";26;1:9;C;;3 Jurusan
SEKOLAH TINGGI ILMU HUKUM MUHAMMADIYAH KOTABUMI;"Jalan Hasan Kepala Ratu No. 1052 Sendang sari 
									Lampung Utara";26;1:9;;;
